minggu,tajuk,unit,standard_kandungan,standard_pembelajaran
12,"CUTI PENGGAL 1, SESI 2024/2025 KUMPULAN A: 24.05.2024 - 02.06.2024, KUMPULAN B: 25.05.2024 - 02.06.2024","CUTI PENGGAL 1, SESI 2024/2025 KUMPULAN A: 24.05.2024 - 02.06.2024, KUMPULAN B: 25.05.2024 - 02.06.2024",,
16,5.0 PEMELIHARAAN DAN PEMULIHARAAN,UNIT 5 PEMELIHARAAN DAN PEMULIHARAAN,5.1 Pemeliharaan,5.1.6 Menjana idea tentang kesan pemeliharaan dan pemuliharaan terhadap haiwan dan tumbuhan yang mengalami ancaman kepupusan.
16,5.0 PEMELIHARAAN DAN PEMULIHARAAN,UNIT 5 PEMELIHARAAN DAN PEMULIHARAAN,5.1 Pemeliharaan,"5.1.7 tentang pemeliharaan dan pemuliharaan melalui lakaran, TMK, penulisan atau lisan secara kreatif."
17,6.0 DAYA,UNIT 6 DAYA,6.1 Daya dan,"5.1.7 tentang pemeliharaan dan pemuliharaan melalui lakaran, TMK, penulisan atau lisan secara kreatif."
18-19,6.0 DAYA,UNIT 6 DAYA,6.1 Daya dan,6.1.1 Menyatakan maksud daya dengan menjalankan aktiviti.
18-19,6.0 DAYA,UNIT 6 DAYA,6.1 Daya dan,6.1.2 Menjelas dengan contoh kesan daya dengan menjalankan aktiviti.
18-19,6.0 DAYA,UNIT 6 DAYA,6.1 Daya dan,"6.1.3 Menjelaskan pemerhatian tentang daya dan kesannya melalui lakaran, TMK, penulisan atau lisan secara kreatif."
20-21,6.0 DAYA,UNIT 6 DAYA,6.2 Daya Geseran,6.2.1 Menyatakan maksud daya geseran dengan menjalankan aktiviti.
20-21,6.0 DAYA,UNIT 6 DAYA,6.2 Daya Geseran,6.2.2 Memerihalkan kesan daya geseran.
20-21,6.0 DAYA,UNIT 6 DAYA,6.2 Daya Geseran,6.2.3 Mengeksperimen untuk menentukan faktor yang mempengaruhi daya geseran.
20-21,6.0 DAYA,UNIT 6 DAYA,6.2 Daya Geseran,6.2.4 Menjana idea untuk menyelesaikan masalah tentang daya geseran dalam kehidupan harian.
20-21,6.0 DAYA,UNIT 6 DAYA,6.2 Daya Geseran,"6.2.5 Menjelaskan pemerhatian tentang daya geseran melalui lakaran, TMK, penulisan atau lisan secara kreatif."
20-21,6.0 DAYA,UNIT 6 DAYA,6.3 Tekanan Udara,6.3.1 Memerihalkan kewujudan tekanan udara di sekeliling dengan menjalankan aktiviti.
20-21,6.0 DAYA,UNIT 6 DAYA,6.3 Tekanan Udara,6.3.2 Menghubungkaitkan antara tekanan udara dengan aras ketinggian.
20-21,6.0 DAYA,UNIT 6 DAYA,6.3 Tekanan Udara,6.3.3 Menjelaskan melalui contoh aplikasi tekanan udara dalam kehidupan harian.
20-21,6.0 DAYA,UNIT 6 DAYA,6.3 Tekanan Udara,"6.3.4 Menjelaskan pemerhatian tentang tekanan udara melalui lakaran, TMK, penulisan atau lisan secara kreatif."
24,8.0 TEKNOLOGI PENGAWETAN MAKANAN,"UNIT bagiUnit yang digunakan: kelajuan. kelajuan.(i) kilometer per jam (km/j) (ii) meter per saat (m/s) Mengeksperimen untuk7.1.2 (iii) sentimeter per saat (cm/s) 2menentukan hubungan Menyatakan unit bagi antara kelajuan, jarak kelajuan. dan masa. Cadangan aktiviti: Menyelesaikan masalah Mengeksperimen 7.1.3 Mengira untuk menentukan berkaitan kelajuan kelajuan, jarak atau masamenggunakan troli atau menggunakan rumus.3 dengan menggunakankereta mainan di atas satah rumus.condong bagi menentukan Mendefinisi secara operasi hubungan kelajuan, jarak kelajuan dengan dan masa. 7.1.4 menjalankan aktiviti. Membuat kesimpulan tentang 4 hubungan kelajuan dengan Menjelaskan pemerhatian jarak dan masa. tentang kelajuan melalui lakaran, TMK, penulisan 7.1.5 atau lisan secara kreatif. Mentafsir data tentang 5perhubungan ruang dan masa dengan menganalisis graf pergerakan suatu objek. Mendefinisi secara operasi 6kelajuan dengan menjalankan aktiviti.",7.1 Kelajuan Objek,7.1.1 Menyatakan unit bagi kelajuan.
24,8.0 TEKNOLOGI PENGAWETAN MAKANAN,"UNIT bagiUnit yang digunakan: kelajuan. kelajuan.(i) kilometer per jam (km/j) (ii) meter per saat (m/s) Mengeksperimen untuk7.1.2 (iii) sentimeter per saat (cm/s) 2menentukan hubungan Menyatakan unit bagi antara kelajuan, jarak kelajuan. dan masa. Cadangan aktiviti: Menyelesaikan masalah Mengeksperimen 7.1.3 Mengira untuk menentukan berkaitan kelajuan kelajuan, jarak atau masamenggunakan troli atau menggunakan rumus.3 dengan menggunakankereta mainan di atas satah rumus.condong bagi menentukan Mendefinisi secara operasi hubungan kelajuan, jarak kelajuan dengan dan masa. 7.1.4 menjalankan aktiviti. Membuat kesimpulan tentang 4 hubungan kelajuan dengan Menjelaskan pemerhatian jarak dan masa. tentang kelajuan melalui lakaran, TMK, penulisan 7.1.5 atau lisan secara kreatif. Mentafsir data tentang 5perhubungan ruang dan masa dengan menganalisis graf pergerakan suatu objek. Mendefinisi secara operasi 6kelajuan dengan menjalankan aktiviti.",7.1 Kelajuan Objek,"7.1.2 Mengeksperimen untuk menentukan hubungan antara kelajuan, jarak dan masa."
24,8.0 TEKNOLOGI PENGAWETAN MAKANAN,"UNIT bagiUnit yang digunakan: kelajuan. kelajuan.(i) kilometer per jam (km/j) (ii) meter per saat (m/s) Mengeksperimen untuk7.1.2 (iii) sentimeter per saat (cm/s) 2menentukan hubungan Menyatakan unit bagi antara kelajuan, jarak kelajuan. dan masa. Cadangan aktiviti: Menyelesaikan masalah Mengeksperimen 7.1.3 Mengira untuk menentukan berkaitan kelajuan kelajuan, jarak atau masamenggunakan troli atau menggunakan rumus.3 dengan menggunakankereta mainan di atas satah rumus.condong bagi menentukan Mendefinisi secara operasi hubungan kelajuan, jarak kelajuan dengan dan masa. 7.1.4 menjalankan aktiviti. Membuat kesimpulan tentang 4 hubungan kelajuan dengan Menjelaskan pemerhatian jarak dan masa. tentang kelajuan melalui lakaran, TMK, penulisan 7.1.5 atau lisan secara kreatif. Mentafsir data tentang 5perhubungan ruang dan masa dengan menganalisis graf pergerakan suatu objek. Mendefinisi secara operasi 6kelajuan dengan menjalankan aktiviti.",7.1 Kelajuan Objek,7.1.3 Menyelesaikan masalah berkaitan kelajuan menggunakan rumus.
24,8.0 TEKNOLOGI PENGAWETAN MAKANAN,"UNIT bagiUnit yang digunakan: kelajuan. kelajuan.(i) kilometer per jam (km/j) (ii) meter per saat (m/s) Mengeksperimen untuk7.1.2 (iii) sentimeter per saat (cm/s) 2menentukan hubungan Menyatakan unit bagi antara kelajuan, jarak kelajuan. dan masa. Cadangan aktiviti: Menyelesaikan masalah Mengeksperimen 7.1.3 Mengira untuk menentukan berkaitan kelajuan kelajuan, jarak atau masamenggunakan troli atau menggunakan rumus.3 dengan menggunakankereta mainan di atas satah rumus.condong bagi menentukan Mendefinisi secara operasi hubungan kelajuan, jarak kelajuan dengan dan masa. 7.1.4 menjalankan aktiviti. Membuat kesimpulan tentang 4 hubungan kelajuan dengan Menjelaskan pemerhatian jarak dan masa. tentang kelajuan melalui lakaran, TMK, penulisan 7.1.5 atau lisan secara kreatif. Mentafsir data tentang 5perhubungan ruang dan masa dengan menganalisis graf pergerakan suatu objek. Mendefinisi secara operasi 6kelajuan dengan menjalankan aktiviti.",7.1 Kelajuan Objek,"7.1.4 Mendefinisi secara operasi kelajuan dengan menjalankan aktiviti. Menjelaskan pemerhatian tentang kelajuan melalui lakaran, TMK, penulisan"
24,8.0 TEKNOLOGI PENGAWETAN MAKANAN,"UNIT bagiUnit yang digunakan: kelajuan. kelajuan.(i) kilometer per jam (km/j) (ii) meter per saat (m/s) Mengeksperimen untuk7.1.2 (iii) sentimeter per saat (cm/s) 2menentukan hubungan Menyatakan unit bagi antara kelajuan, jarak kelajuan. dan masa. Cadangan aktiviti: Menyelesaikan masalah Mengeksperimen 7.1.3 Mengira untuk menentukan berkaitan kelajuan kelajuan, jarak atau masamenggunakan troli atau menggunakan rumus.3 dengan menggunakankereta mainan di atas satah rumus.condong bagi menentukan Mendefinisi secara operasi hubungan kelajuan, jarak kelajuan dengan dan masa. 7.1.4 menjalankan aktiviti. Membuat kesimpulan tentang 4 hubungan kelajuan dengan Menjelaskan pemerhatian jarak dan masa. tentang kelajuan melalui lakaran, TMK, penulisan 7.1.5 atau lisan secara kreatif. Mentafsir data tentang 5perhubungan ruang dan masa dengan menganalisis graf pergerakan suatu objek. Mendefinisi secara operasi 6kelajuan dengan menjalankan aktiviti.",7.1 Kelajuan Objek,7.1.5 atau lisan secara kreatif.
25-26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN Rozayus Academy | https://rphsekolahrendah.com,8.1 Kerosakan Makanan,8.1.1 Menjelas dengan contoh ciri makanan yang telah rosak.
25-26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN Rozayus Academy | https://rphsekolahrendah.com,8.1 Kerosakan Makanan,8.1.2 Menyatakan bahawa kerosakan makanan disebabkan oleh tindakan mikroorganisma.
25-26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN Rozayus Academy | https://rphsekolahrendah.com,8.1 Kerosakan Makanan,"8.1.3 Menjelaskan pemerhatian tentang kerosakan makanan melalui lakaran, TMK, penulisan atau lisan secara kreatif."
25-26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN Rozayus Academy | https://rphsekolahrendah.com,8.2 Pengawetan Makanan,8.2.1 Memerihalkan tujuan pengawetan makanan.
25-26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN Rozayus Academy | https://rphsekolahrendah.com,8.2 Pengawetan Makanan,8.2.2 Menghubungkait kaedah pengawetan makanan dengan faktor yang mempengaruhi pertumbuhan mikroorganisma.
25-26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN Rozayus Academy | https://rphsekolahrendah.com,8.2 Pengawetan Makanan,8.2.3 Menjalankan projek pengawetan sejenis makanan dengan pelbagai
25-26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN Rozayus Academy | https://rphsekolahrendah.com,8.2 Pengawetan Makanan,8.2.4 kaedah.
25-26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN Rozayus Academy | https://rphsekolahrendah.com,8.2 Pengawetan Makanan,8.2.5 Merumuskan terdapat makanan yang boleh diawet lebih daripada satu kaedah pengawetan. Mengitlak terdapat makanan boleh diawet dengan menggabungkan lebih daripada satu kaedah pengawetan.
26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN,8.2 Pengawetan Makanan,8.2.6 Memerihalkan kepentingan teknologi pengawetan makanan bagi memenuhi keperluan bekalan makanan.
26,8.0 TEKNOLOGI PENGAWETAN MAKANAN,UNIT 8 TEKNOLOGI PENGAWETAN MAKANAN,8.2 Pengawetan Makanan,"8.2.7 Menjelaskan pemerhatian tentang pengawetan makanan melalui lakaran, TMK, penulisan atau lisan secara kreatif."
26,"CUTI PENGGAL 2, SESI 2024/2025 KUMPULAN A: 13.09.2024 - 21.09.2024, KUMPULAN B: 14.09.2024 - 22.09.2024","CUTI PENGGAL 2, SESI 2024/2025 KUMPULAN A: 13.09.2024 - 21.09.2024, KUMPULAN B: 14.09.2024 - 22.09.2024",,
27,9.0 BAHAN BUANGAN,UNIT 9 BAHAN BUANGAN,9.1 Pengurusan Bahan Buangan,9.1.1 Mengenal pasti bahan buangan berdasarkan jenis bahan.
27,9.0 BAHAN BUANGAN,UNIT 9 BAHAN BUANGAN,9.1 Pengurusan Bahan Buangan,9.1.2 Menyatakan maksud bahan buangan terbiodegradasi dan tidak terbiodegradasi.
27,9.0 BAHAN BUANGAN,UNIT 9 BAHAN BUANGAN,9.1 Pengurusan Bahan Buangan,9.1.3 Mengelaskan bahan buangan kepada bahan terbiodegradasi dan tidak terbiodegradasi.
27,9.0 BAHAN BUANGAN,UNIT 9 BAHAN BUANGAN,9.1 Pengurusan Bahan Buangan,9.1.4 Menaakul penggunaan bahan terbiodegradasi dan tidak terbiodegradasi secara berhemah.
28,9.0 BAHAN BUANGAN,UNIT 9 BAHAN BUANGAN,9.1 Pengurusan Bahan Buangan,9.1.5 Memerihalkan pengurusan bahan buangan secara terancang untuk kehidupan lestari.
28,9.0 BAHAN BUANGAN,UNIT 9 BAHAN BUANGAN,9.1 Pengurusan Bahan Buangan,"9.1.6 Menjelaskan pemerhatian tentang pengurusan bahan buangan melalui lakaran, TMK, penulisan atau lisan secara kreatif."
29-31,10.0 GERHANA,UNIT 10 GERHANA,10.1 Fenomena Gerhana Bulan dan Gerhana Matahari,"10.1.1 Memerihalkan fenomena gerhana Bulan berdasarkan kedudukan Bulan, Bumi dan Matahari dengan menjalankan simulasi."
29-31,10.0 GERHANA,UNIT 10 GERHANA,10.1 Fenomena Gerhana Bulan dan Gerhana Matahari,"10.1.2 Memerihalkan fenomena gerhana Matahari berdasarkan kedudukan Bulan, Bumi dan Matahari dengan menjalankan simulasi."
29-31,10.0 GERHANA,UNIT 10 GERHANA,10.1 Fenomena Gerhana Bulan dan Gerhana Matahari,10.1.3 Menghubungkaitkan fenomena gerhana Bulan dan gerhana Matahari dengan sifat cahaya.
29-31,10.0 GERHANA,UNIT 10 GERHANA,10.1 Fenomena Gerhana Bulan dan Gerhana Matahari,10.1.4 Meramalkan keadaan di Bumi semasa kejadian gerhana Bulan dan gerhana Matahari.
29-31,10.0 GERHANA,UNIT 10 GERHANA,10.1 Fenomena Gerhana Bulan dan Gerhana Matahari,"10.1.5 Menjelaskan pemerhatian tentang fenomena gerhana Bulan dan gerhana Matahari melalui lakaran, TMK, penulisan atau lisan secara kreatif."
32-33,11.0 GALAKSI,UNIT 11 GALAKSI,11.1 Galaksi Bima Sakti,11.1.1 Menyatakan maksud galaksi.
32-33,11.0 GALAKSI,UNIT 11 GALAKSI,11.1 Galaksi Bima Sakti,11.1.2 Memerihalkan galaksi Bima Sakti.
32-33,11.0 GALAKSI,UNIT 11 GALAKSI,11.1 Galaksi Bima Sakti,11.1.3 Merumuskan Sistem Suria berada dalam galaksi Bima Sakti.
32-33,11.0 GALAKSI,UNIT 11 GALAKSI,11.1 Galaksi Bima Sakti,11.1.4 Menjalankan simulasi untuk menggambarkan saiz Sistem Suria dalam galaksi Bima Sakti dan mengagumi ciptaan Tuhan.
32-33,11.0 GALAKSI,UNIT 11 GALAKSI,11.1 Galaksi Bima Sakti,"11.1.5 Menjelaskan pemerhatian tentang galaksi melalui lakaran, TMK, penulisan atau lisan secara kreatif."
35-36,12.0 KESTABILAN DAN KEKUATAN,UNIT 12 KESTABILAN DAN KEKUATAN,12.1 Kestabilan dan,12.1.4 Mengeksperimen untuk menentukan faktor yang mempengaruhi kekuatan binaan.
35-36,12.0 KESTABILAN DAN KEKUATAN,UNIT 12 KESTABILAN DAN KEKUATAN,12.1 Kestabilan dan,12.1.5 Menjana idea kepentingan binaan yang kuat dan stabil bagi kehidupan lestari.
35-36,12.0 KESTABILAN DAN KEKUATAN,UNIT 12 KESTABILAN DAN KEKUATAN,12.1 Kestabilan dan,12.1.6 Mencipta model binaan yang kuat dan stabil dengan menggunakan
35-36,12.0 KESTABILAN DAN KEKUATAN,UNIT 12 KESTABILAN DAN KEKUATAN,12.1 Kestabilan dan,"12.1.7 pemerhatian tentang kestabilan dan kekuatan melalui lakaran, TMK, penulisan atau lisan secara kreatif."
37-39,13.0 TEKNOLOGI,UNIT 13 TEKNOLOGI,13.1 Kebaikan dan Keburukan Teknologi,13.1.1 Menyatakan maksud teknologi dan kepentingannya.
37-39,13.0 TEKNOLOGI,UNIT 13 TEKNOLOGI,13.1 Kebaikan dan Keburukan Teknologi,13.1.2 Memerihalkan perkembangan teknologi dalam pelbagai bidang.
37-39,13.0 TEKNOLOGI,UNIT 13 TEKNOLOGI,13.1 Kebaikan dan Keburukan Teknologi,13.1.3 Menjelaskan melalui contoh kebaikan dan keburukan teknologi
37-39,13.0 TEKNOLOGI,UNIT 13 TEKNOLOGI,13.1 Kebaikan dan Keburukan Teknologi,"12.1.7 pemerhatian tentang kestabilan dan kekuatan melalui lakaran, TMK, penulisan atau lisan secara kreatif."
37-39,13.0 TEKNOLOGI,UNIT 13 TEKNOLOGI,13.1 Kebaikan dan Keburukan Teknologi,"13.1.4 Menjelaskan pemerhatian tentang kebaikan dan keburukan teknologi melalui lakaran, TMK, penulisan atau lisan secara kreatif."
37-39,"CUTI PENGGAL 3, SESI 2024/2025 KUMPULAN A: 20.12.2024 -28.12.2024, KUMPULAN B: 21.12.2024 -29.12.2024","CUTI PENGGAL 3, SESI 2024/2025 KUMPULAN A: 20.12.2024 -28.12.2024, KUMPULAN B: 21.12.2024 -29.12.2024",,
37-39,"CUTI AKHIR PERSEKOLAHAN SESI 2024/2025 KUMPULAN A: 17.01.2025 - 15.02.2025, KUMPULAN B: 18.01.2025 - 16.02.2025","CUTI AKHIR PERSEKOLAHAN SESI 2024/2025 KUMPULAN A: 17.01.2025 - 15.02.2025, KUMPULAN B: 18.01.2025 - 16.02.2025",,
